Transaction_ID,Policy_ID,Program_ID,Treaty_ID,Transaction_Type,Transaction_Date,Premium_Amount
TXN000049,POL06912,PRG024,TRT073,New Business,2026-02-20,409103.82
TXN000050,POL03285,PRG009,TRT013,Adjustment,2026-06-03,492295.53
TXN000051,POL04287,PRG012,TRT018,New Business,2026-02-08,38530.24
TXN000052,POL04449,PRG012,TRT043,Renewal,2026-07-26,493356.32
TXN000053,POL09528,PRG004,TRT095,Adjustment,2026-08-11,320806.01
TXN000054,POL02278,PRG002,TRT028,New Business,2026-01-04,253170.34
TXN000055,POL09621,PRG007,TRT032,New Business,2026-07-17,13971.1
TXN000056,POL07574,PRG009,TRT018,Adjustment,2026-06-07,322815.56
TXN000057,POL07119,PRG017,TRT099,Renewal,2026-01-06,390175.73
TXN000058,POL07593,PRG002,TRT023,Renewal,2026-05-06,142657.43
TXN000059,POL04189,PRG018,TRT059,Adjustment,2026-06-28,453033.61
TXN000060,POL03395,PRG013,TRT044,Renewal,2026-05-12,120114.6
TXN000061,POL04752,PRG022,TRT009,Renewal,2026-05-02,371873.62
TXN000062,POL03034,PRG025,TRT081,Adjustment,2026-03-19,60062.1
TXN000063,POL02957,PRG023,TRT011,New Business,2026-04-19,23019.14
TXN000064,POL04611,PRG012,TRT069,New Business,2026-01-09,233122.09
TXN000065,POL04267,PRG004,TRT081,New Business,2026-01-30,440045.55
TXN000066,POL07168,PRG016,TRT044,Renewal,2026-02-26,277296.24
TXN000067,POL04430,PRG014,TRT035,New Business,2026-01-17,102139.7
TXN000068,POL04453,PRG016,TRT092,Adjustment,2026-06-03,285218.61
TXN000069,POL06423,PRG007,TRT091,New Business,2026-03-12,320506.15
TXN000070,POL02038,PRG017,TRT001,Renewal,2026-07-29,174780.43
TXN000071,POL01292,PRG007,TRT088,Adjustment,2026-03-25,387761.3
TXN000072,POL05078,PRG017,TRT068,Renewal,2026-04-27,50805.43
TXN000073,POL07316,PRG009,TRT086,New Business,2026-05-27,263417.48
TXN000074,POL08290,PRG021,TRT035,Adjustment,2026-06-22,183737.12
TXN000075,POL03612,PRG025,TRT036,New Business,2026-07-11,310677.81
TXN000076,POL08150,PRG022,TRT087,Renewal,2026-08-19,176778.96
TXN000077,POL00883,PRG022,TRT067,Renewal,2026-08-29,392910.48
TXN000078,POL08804,PRG012,TRT019,Adjustment,2026-06-07,473613.69
TXN000079,POL09562,PRG007,TRT007,Renewal,2026-03-02,225238.94
TXN000080,POL08332,PRG017,TRT086,Renewal,2026-03-29,482563.81
TXN000081,POL06663,PRG024,TRT093,New Business,2026-08-16,324841.24
TXN000082,POL09604,PRG004,TRT016,Adjustment,2026-06-09,13312.14
TXN000083,POL03051,PRG016,TRT031,New Business,2026-02-27,234863.88
TXN000084,POL04838,PRG017,TRT100,Adjustment,2026-04-19,52888.15
TXN000085,POL05758,PRG014,TRT082,Renewal,2026-03-12,401702.61
TXN000086,POL06574,PRG020,TRT063,Renewal,2026-07-27,334588.52
TXN000087,POL09920,PRG014,TRT058,Renewal,2026-05-24,215919.62
TXN000088,POL03342,PRG020,TRT080,New Business,2026-02-27,235434.99
TXN000089,POL04368,PRG018,TRT032,Renewal,2026-03-03,333276.03
TXN000090,POL06713,PRG009,TRT044,Renewal,2026-08-08,498070.16
TXN000091,POL06837,PRG020,TRT064,New Business,2026-02-26,116534.78
TXN000092,POL09521,PRG018,TRT001,Renewal,2026-07-10,166321.92
TXN000093,POL00420,PRG006,TRT028,New Business,2026-04-14,196946.52
TXN000094,POL05924,PRG023,TRT072,New Business,2026-04-15,274694.4
TXN000095,POL02148,PRG011,TRT013,Renewal,2026-04-08,123657.45
TXN000096,POL04324,PRG024,TRT005,New Business,2026-05-15,280656.03
TXN000097,POL04884,PRG019,TRT091,New Business,2026-07-02,416945.65
TXN000098,POL05247,PRG005,TRT006,Renewal,2026-01-31,253752.54
TXN000099,POL05792,PRG016,TRT070,New Business,2026-02-27,496581.71
TXN000100,POL02017,PRG017,TRT019,New Business,2026-05-12,28596.19
TXN000101,POL03749,PRG010,TRT042,Renewal,2026-06-30,365425.37
TXN000102,POL04355,PRG016,TRT070,Renewal,2026-03-16,97197.1
TXN000103,POL06180,PRG020,TRT006,Adjustment,2026-08-10,229101.08
TXN000104,POL02973,PRG014,TRT085,New Business,2026-01-08,450451.14
TXN000105,POL02347,PRG002,TRT031,Renewal,2026-03-13,111194.14
TXN000106,POL08840,PRG008,TRT034,New Business,2026-03-25,230690.47
TXN000107,POL08442,PRG020,TRT056,Adjustment,2026-04-07,256940.15
TXN000108,POL00113,PRG014,TRT098,Adjustment,2026-05-26,366374.93
TXN000109,POL07936,PRG009,TRT074,Adjustment,2026-05-12,217332.65
TXN000110,POL07762,PRG019,TRT002,Adjustment,2026-04-28,472189.46
TXN000111,POL06076,PRG015,TRT007,Renewal,2026-03-05,218182.53
TXN000112,POL07762,PRG019,TRT002,Renewal,2026-01-29,274610.54
TXN000113,POL01836,PRG015,TRT020,Adjustment,2026-06-24,459753.53
TXN000114,POL05259,PRG010,TRT085,New Business,2026-06-18,32039.13
TXN000115,POL06458,PRG022,TRT012,Adjustment,2026-04-28,111162.42
TXN000116,POL01324,PRG020,TRT090,Renewal,2026-01-15,159502.63
TXN000117,POL08686,PRG008,TRT081,Adjustment,2026-05-05,350562.86
TXN000118,POL01067,PRG023,TRT039,New Business,2026-03-16,444344.55
TXN000119,POL04505,PRG013,TRT044,Renewal,2026-05-07,262130.97
TXN000120,POL03543,PRG006,TRT076,Renewal,2026-08-22,423555.06
TXN000121,POL06293,PRG015,TRT050,New Business,2026-06-19,437733.97
TXN000122,POL02305,PRG024,TRT028,Adjustment,2026-01-22,455480.36
TXN000123,POL04887,PRG002,TRT080,Adjustment,2026-07-17,393768.91
TXN000124,POL00024,PRG016,TRT063,New Business,2026-06-21,307541.5
TXN000125,POL04845,PRG010,TRT062,New Business,2026-08-01,146834.5
TXN000126,POL01074,PRG009,TRT072,Renewal,2026-07-11,275020.86
TXN000127,POL02698,PRG003,TRT058,New Business,2026-01-14,489239.11
TXN000128,POL07951,PRG005,TRT038,Renewal,2026-04-28,128995.97
TXN000129,POL02195,PRG005,TRT006,Renewal,2026-02-18,86915.79
TXN000130,POL06450,PRG008,TRT032,Adjustment,2026-04-01,14895.17
TXN000131,POL05373,PRG015,TRT010,New Business,2026-04-20,368136.79
TXN000132,POL03183,PRG021,TRT036,Renewal,2026-06-16,448441.55
TXN000133,POL06081,PRG012,TRT073,Renewal,2026-01-17,268234.94
TXN000134,POL01048,PRG008,TRT025,Adjustment,2026-06-24,454502.38
TXN000135,POL06798,PRG022,TRT015,Renewal,2026-04-03,82396.52
TXN000136,POL06242,PRG025,TRT062,Renewal,2026-03-03,46474.6
TXN000137,POL00967,PRG023,TRT020,Renewal,2026-05-22,83205.6
TXN000138,POL01249,PRG014,TRT070,New Business,2026-08-01,304043.34
TXN000139,POL02019,PRG002,TRT085,Adjustment,2026-03-11,429644.15
TXN000140,POL01195,PRG002,TRT021,Renewal,2026-05-26,5279.06
TXN000141,POL04187,PRG003,TRT025,New Business,2026-04-04,243115.31
TXN000142,POL08754,PRG006,TRT072,Renewal,2026-06-18,379703.94
TXN000143,POL00015,PRG019,TRT051,Renewal,2026-01-28,310359.5
TXN000144,POL09724,PRG023,TRT094,Renewal,2026-02-23,150172.24
TXN000145,POL02366,PRG010,TRT064,Renewal,2026-07-05,223438.62
TXN000146,POL05348,PRG020,TRT037,Renewal,2026-01-23,454385.97
TXN000147,POL05385,PRG018,TRT033,Renewal,2026-02-07,316702.23
TXN000148,POL07027,PRG018,TRT043,New Business,2026-04-22,169229.14
TXN000149,POL09544,PRG010,TRT015,New Business,2026-02-23,15615.45
TXN000150,POL01678,PRG012,TRT036,Renewal,2026-03-12,366684.66
TXN000151,POL08921,PRG018,TRT091,Adjustment,2026-05-12,177410.3
TXN000152,POL05375,PRG013,TRT086,New Business,2026-02-21,212023.89
TXN000153,POL01386,PRG025,TRT061,New Business,2026-01-29,385147.61
TXN000154,POL05473,PRG012,TRT048,Renewal,2026-07-17,414246.33
TXN000155,POL06017,PRG001,TRT023,Renewal,2026-03-11,389943.67
TXN000156,POL02353,PRG019,TRT064,Renewal,2026-05-29,382546.31
TXN000157,POL00285,PRG012,TRT068,New Business,2026-06-29,168435.09
TXN000158,POL02894,PRG010,TRT096,Renewal,2026-02-20,55448.86
TXN000159,POL02331,PRG012,TRT054,New Business,2026-07-10,233169.35
TXN000160,POL05566,PRG014,TRT043,Renewal,2026-03-06,323209.82
TXN000161,POL05356,PRG019,TRT021,New Business,2026-06-04,465879.49
TXN000162,POL05137,PRG025,TRT096,Renewal,2026-03-25,246982.89
TXN000163,POL00843,PRG022,TRT084,New Business,2026-08-11,40759.6
TXN000164,POL02787,PRG024,TRT037,New Business,2026-01-05,446335.92
TXN000165,POL04104,PRG011,TRT014,Renewal,2026-03-15,6758.13
TXN000166,POL06154,PRG015,TRT049,New Business,2026-06-04,369914.63
TXN000167,POL05586,PRG008,TRT021,Adjustment,2026-05-08,389525.93
TXN000168,POL04545,PRG005,TRT099,Adjustment,2026-03-15,337951.3
TXN000169,POL04331,PRG006,TRT068,New Business,2026-08-07,242982.66
TXN000170,POL06567,PRG001,TRT067,Renewal,2026-03-09,449907.75
TXN000171,POL05883,PRG021,TRT014,Renewal,2026-08-04,422818.24
TXN000172,POL09587,PRG010,TRT043,New Business,2026-02-02,54848.54
TXN000173,POL01813,PRG010,TRT029,Renewal,2026-06-04,260248.44
TXN000174,POL02540,PRG008,TRT019,Adjustment,2026-04-20,57915.56
TXN000175,POL03107,PRG024,TRT019,Renewal,2026-07-26,386921.31
TXN000176,POL09024,PRG024,TRT044,New Business,2026-05-24,21245.25
TXN000177,POL02388,PRG025,TRT045,Adjustment,2026-07-09,221318.84
TXN000178,POL09598,PRG017,TRT087,Adjustment,2026-06-28,328588.22
TXN000179,POL08153,PRG010,TRT008,Adjustment,2026-02-06,447670.19
TXN000180,POL05283,PRG015,TRT066,Renewal,2026-06-12,308610.51
TXN000181,POL08890,PRG009,TRT047,Renewal,2026-05-09,52424.09
TXN000182,POL04290,PRG021,TRT067,Adjustment,2026-03-17,164862.28
TXN000183,POL02988,PRG024,TRT021,Adjustment,2026-02-05,7708.71
TXN000184,POL01604,PRG005,TRT076,New Business,2026-06-24,360720.35
TXN000185,POL08194,PRG002,TRT016,New Business,2026-01-06,23309.56
TXN000186,POL07031,PRG021,TRT076,Adjustment,2026-01-19,315880.73
TXN000187,POL06019,PRG021,TRT031,New Business,2026-08-14,199669.8
TXN000188,POL09069,PRG019,TRT014,Renewal,2026-05-15,245034.03
TXN000189,POL03079,PRG015,TRT095,New Business,2026-02-07,325288.2
TXN000190,POL06487,PRG001,TRT046,Adjustment,2026-06-02,114127.28
TXN000191,POL09991,PRG006,TRT057,New Business,2026-02-21,120728.46
TXN000192,POL06969,PRG020,TRT099,New Business,2026-08-10,253660.6
TXN000193,POL03731,PRG011,TRT032,Renewal,2026-06-19,169928.35
TXN000194,POL09208,PRG024,TRT035,Renewal,2026-03-31,381601.94
TXN000195,POL08470,PRG002,TRT091,Renewal,2026-04-08,262375.99
TXN000196,POL04039,PRG015,TRT054,Renewal,2026-07-27,164507.12
TXN000197,POL09790,PRG025,TRT051,Renewal,2026-05-01,322725.89
TXN000198,POL02506,PRG021,TRT083,Renewal,2026-01-21,459070.13
TXN000199,POL06051,PRG007,TRT007,New Business,2026-01-19,343441.82
TXN000200,POL02235,PRG014,TRT057,Adjustment,2026-07-22,46694.08
TXN000201,POL09299,PRG014,TRT052,Adjustment,2026-02-06,322835.39
TXN000202,POL09615,PRG008,TRT064,Renewal,2026-05-02,125307.85
TXN000203,POL08673,PRG023,TRT085,Adjustment,2026-03-03,225269.73
TXN000204,POL05043,PRG009,TRT009,Adjustment,2026-07-03,437862.23
TXN000205,POL04723,PRG016,TRT073,Renewal,2026-07-14,364386.61
TXN000206,POL05032,PRG016,TRT021,Renewal,2026-05-27,327524.53
TXN000207,POL01960,PRG003,TRT040,Adjustment,2026-03-24,444965.85
TXN000208,POL03503,PRG025,TRT077,Adjustment,2026-05-23,497250.24
TXN000209,POL00528,PRG017,TRT059,Renewal,2026-05-06,197634.21
TXN000210,POL06029,PRG015,TRT012,New Business,2026-02-28,300356.81
TXN000211,POL07107,PRG002,TRT095,Adjustment,2026-08-12,451426.76
TXN000212,POL09624,PRG023,TRT044,Adjustment,2026-08-19,252397.6
TXN000213,POL09163,PRG002,TRT070,New Business,2026-02-20,491019.59
TXN000214,POL04653,PRG022,TRT070,Adjustment,2026-06-08,495693.46
TXN000215,POL03294,PRG001,TRT049,New Business,2026-02-22,86821.82
TXN000216,POL02241,PRG009,TRT065,Renewal,2026-06-04,450434.94
TXN000217,POL07208,PRG005,TRT031,New Business,2026-08-14,244860.19
TXN000218,POL05641,PRG020,TRT056,Renewal,2026-01-31,257242.55
TXN000219,POL04185,PRG009,TRT061,Renewal,2026-03-23,268255.61
TXN000220,POL00938,PRG016,TRT097,Adjustment,2026-01-31,291833.93
TXN000221,POL04592,PRG002,TRT018,Renewal,2026-07-22,389168.56
TXN000222,POL03322,PRG025,TRT069,Adjustment,2026-05-20,182141.09
TXN000223,POL03345,PRG002,TRT084,Adjustment,2026-02-21,255343.65
TXN000224,POL07425,PRG007,TRT024,Renewal,2026-05-13,395333.47
TXN000225,POL01660,PRG018,TRT079,Renewal,2026-04-05,62455.53
TXN000226,POL07579,PRG007,TRT023,New Business,2026-05-27,243473.75
TXN000227,POL03802,PRG016,TRT001,Renewal,2026-02-06,182129.15
TXN000228,POL02308,PRG017,TRT088,Adjustment,2026-06-19,347855.22
TXN000229,POL07689,PRG003,TRT094,New Business,2026-01-28,416109.06
TXN000230,POL03315,PRG014,TRT058,New Business,2026-05-22,193192.61
TXN000231,POL07060,PRG008,TRT073,New Business,2026-03-01,237882.13
TXN000232,POL03075,PRG018,TRT060,New Business,2026-05-01,190983.57
TXN000233,POL03698,PRG018,TRT086,Renewal,2026-02-09,470249.65
TXN000234,POL08963,PRG019,TRT066,New Business,2026-05-15,300359.91
TXN000235,POL08627,PRG009,TRT005,Renewal,2026-06-16,382028.22
TXN000236,POL09924,PRG004,TRT092,New Business,2026-08-08,135552.52
TXN000237,POL01990,PRG021,TRT035,New Business,2026-06-05,421959.73
TXN000238,POL07315,PRG006,TRT023,Adjustment,2026-07-07,37198.52
TXN000239,POL08983,PRG015,TRT010,Renewal,2026-04-28,144938.75
TXN000240,POL09537,PRG020,TRT040,Renewal,2026-04-17,258857.22
TXN000241,POL05266,PRG005,TRT042,New Business,2026-08-08,335106.52
TXN000242,POL04441,PRG010,TRT027,New Business,2026-07-13,311971.58
TXN000243,POL02914,PRG019,TRT009,Adjustment,2026-07-20,107644.86
TXN000244,POL04692,PRG013,TRT025,Adjustment,2026-03-08,242035.93
TXN000245,POL04913,PRG020,TRT043,Renewal,2026-08-02,349362.8
TXN000246,POL06377,PRG005,TRT070,Renewal,2026-01-21,181599.62
TXN000247,POL07966,PRG020,TRT045,New Business,2026-03-15,105436.77
TXN000248,POL06470,PRG001,TRT023,Renewal,2026-06-09,92328.41
TXN000249,POL02193,PRG008,TRT071,Renewal,2026-02-09,231090.0
TXN000250,POL01310,PRG020,TRT028,Renewal,2026-07-13,92386.77
TXN000251,POL00688,PRG012,TRT080,Adjustment,2026-07-20,23058.97
TXN000252,POL00236,PRG020,TRT050,Adjustment,2026-04-26,363076.66
TXN000253,POL02454,PRG016,TRT055,Adjustment,2026-03-20,286102.86
TXN000254,POL07266,PRG024,TRT009,New Business,2026-04-07,409182.77
TXN000255,POL03411,PRG023,TRT026,New Business,2026-05-21,345411.94
TXN000256,POL05963,PRG019,TRT077,Adjustment,2026-06-16,283193.81
TXN000257,POL05462,PRG004,TRT089,New Business,2026-04-07,499988.49
TXN000258,POL07891,PRG020,TRT038,New Business,2026-05-01,308456.27
TXN000259,POL05999,PRG020,TRT077,Adjustment,2026-04-11,318673.85
TXN000260,POL02058,PRG014,TRT003,Adjustment,2026-02-27,300181.88
TXN000261,POL02904,PRG002,TRT002,Adjustment,2026-03-30,401651.29
TXN000262,POL09158,PRG004,TRT074,New Business,2026-01-08,164050.64
TXN000263,POL00380,PRG011,TRT035,Renewal,2026-08-27,188908.71
TXN000264,POL05155,PRG008,TRT029,New Business,2026-05-03,172368.86
TXN000265,POL00013,PRG018,TRT096,Renewal,2026-06-20,140681.67
TXN000266,POL04768,PRG002,TRT005,Renewal,2026-02-23,190799.67
TXN000267,POL02342,PRG017,TRT087,Renewal,2026-02-19,284561.94
TXN000268,POL06599,PRG018,TRT060,Adjustment,2026-05-14,227956.35
TXN000269,POL00935,PRG002,TRT057,Renewal,2026-07-22,322870.03
TXN000270,POL00628,PRG001,TRT024,New Business,2026-02-11,164750.44
TXN000271,POL06804,PRG018,TRT004,Renewal,2026-08-26,351724.59
TXN000272,POL09937,PRG015,TRT094,New Business,2026-04-10,113374.18
TXN000273,POL07884,PRG013,TRT081,New Business,2026-05-10,281181.23
TXN000274,POL02552,PRG021,TRT079,Renewal,2026-07-26,473405.16
TXN000275,POL02346,PRG022,TRT069,Renewal,2026-08-15,63425.35
TXN000276,POL00558,PRG025,TRT021,Renewal,2026-06-02,455665.01
TXN000277,POL01337,PRG023,TRT083,Adjustment,2026-05-23,279806.8
TXN000278,POL00374,PRG012,TRT065,New Business,2026-08-05,357856.5
TXN000279,POL04516,PRG014,TRT040,New Business,2026-01-02,228388.03
TXN000280,POL06921,PRG021,TRT028,Adjustment,2026-05-30,366346.2
TXN000281,POL07650,PRG002,TRT071,Renewal,2026-04-03,6243.81
TXN000282,POL05380,PRG004,TRT089,New Business,2026-03-23,238018.92
TXN000283,POL04851,PRG018,TRT045,Adjustment,2026-04-14,20159.31
TXN000284,POL07564,PRG008,TRT080,Renewal,2026-06-04,292213.99
TXN000285,POL00671,PRG003,TRT053,Renewal,2026-06-11,84493.34
TXN000286,POL09452,PRG021,TRT098,New Business,2026-06-15,477231.0
TXN000287,POL09266,PRG005,TRT061,Renewal,2026-02-15,495973.54
TXN000288,POL08627,PRG009,TRT005,Adjustment,2026-08-17,108738.32
TXN000289,POL04829,PRG017,TRT044,Renewal,2026-04-08,26203.57
TXN000290,POL09259,PRG003,TRT024,New Business,2026-07-24,234830.28
TXN000291,POL00782,PRG018,TRT039,Renewal,2026-01-19,406277.17
TXN000292,POL04615,PRG013,TRT066,Adjustment,2026-06-03,167991.71
TXN000293,POL05667,PRG024,TRT018,New Business,2026-05-10,370806.99
TXN000294,POL01674,PRG024,TRT002,Adjustment,2026-06-04,101659.85
TXN000295,POL08154,PRG016,TRT092,New Business,2026-03-13,267635.02
TXN000296,POL07901,PRG013,TRT056,New Business,2026-02-19,68225.3
TXN000297,POL04822,PRG004,TRT032,Renewal,2026-01-01,472235.7
TXN000298,POL07524,PRG005,TRT046,New Business,2026-08-02,446745.03
TXN000299,POL00232,PRG021,TRT029,Adjustment,2026-01-18,110720.81
TXN000300,POL04997,PRG018,TRT051,Adjustment,2026-02-19,134190.77
TXN000301,POL00474,PRG021,TRT062,New Business,2026-01-20,349879.53
TXN000302,POL02716,PRG022,TRT054,New Business,2026-07-28,57741.58
TXN000303,POL03345,PRG002,TRT084,Adjustment,2026-02-14,335286.77
TXN000304,POL05516,PRG014,TRT012,Adjustment,2026-04-18,75866.18
TXN000305,POL00060,PRG011,TRT021,Renewal,2026-05-05,104786.45
TXN000306,POL05495,PRG014,TRT014,New Business,2026-07-12,495540.1
TXN000307,POL04342,PRG007,TRT035,Renewal,2026-08-01,244043.57
TXN000308,POL02621,PRG014,TRT063,New Business,2026-01-31,385103.93
TXN000309,POL04536,PRG003,TRT093,Adjustment,2026-07-27,487643.86
TXN000310,POL03209,PRG009,TRT078,Adjustment,2026-03-14,114819.45
TXN000311,POL07506,PRG015,TRT024,Renewal,2026-01-09,29360.57
TXN000312,POL00286,PRG014,TRT086,Renewal,2026-03-16,93049.39
TXN000313,POL08357,PRG006,TRT029,Adjustment,2026-06-20,24087.13
TXN000314,POL09459,PRG025,TRT047,Adjustment,2026-02-21,60671.62
TXN000315,POL09854,PRG012,TRT086,Adjustment,2026-02-09,383404.92
TXN000316,POL02681,PRG003,TRT006,New Business,2026-02-04,138180.93
TXN000317,POL08544,PRG017,TRT092,Renewal,2026-02-07,307545.43
TXN000318,POL04223,PRG003,TRT068,Renewal,2026-08-27,205903.2
TXN000319,POL06680,PRG016,TRT047,Renewal,2026-03-07,211295.92
TXN000320,POL07812,PRG017,TRT090,Renewal,2026-08-10,459343.26
TXN000321,POL07172,PRG016,TRT005,New Business,2026-07-23,466031.64
TXN000322,POL02305,PRG024,TRT028,Adjustment,2026-02-18,33815.59
TXN000323,POL01908,PRG004,TRT075,Renewal,2026-02-26,418294.92
TXN000324,POL03826,PRG014,TRT050,New Business,2026-06-01,306338.22
TXN000325,POL00763,PRG023,TRT050,New Business,2026-03-27,457476.48
TXN000326,POL01047,PRG001,TRT080,Adjustment,2026-07-09,140211.76
TXN000327,POL06406,PRG012,TRT097,New Business,2026-04-24,394110.74
TXN000328,POL09430,PRG024,TRT034,Renewal,2026-06-30,429148.06
TXN000329,POL08036,PRG011,TRT032,Adjustment,2026-02-17,348027.46
TXN000330,POL09119,PRG017,TRT050,Renewal,2026-02-24,184101.23
TXN000331,POL09134,PRG007,TRT023,New Business,2026-03-11,215912.38
TXN000332,POL06094,PRG005,TRT023,Renewal,2026-01-14,34641.15
TXN000333,POL05868,PRG020,TRT091,Adjustment,2026-01-17,433331.62
TXN000334,POL01987,PRG001,TRT043,Renewal,2026-08-06,451448.25
TXN000335,POL02091,PRG009,TRT066,Renewal,2026-05-19,349590.99
TXN000336,POL06428,PRG008,TRT011,Renewal,2026-03-17,299322.71
TXN000337,POL09379,PRG001,TRT069,New Business,2026-05-18,491206.11
TXN000338,POL08679,PRG023,TRT073,New Business,2026-08-29,16606.52
TXN000339,POL07613,PRG006,TRT027,Adjustment,2026-03-11,287040.44
TXN000340,POL03265,PRG015,TRT046,New Business,2026-01-20,192085.23
TXN000341,POL03209,PRG009,TRT078,Adjustment,2026-02-15,452360.89
TXN000342,POL03095,PRG014,TRT019,Adjustment,2026-06-11,241468.76
TXN000343,POL04389,PRG019,TRT050,New Business,2026-03-20,380669.96
TXN000344,POL00561,PRG007,TRT057,Adjustment,2026-02-02,480766.11
TXN000345,POL05452,PRG005,TRT020,Renewal,2026-04-05,65767.58
TXN000346,POL02299,PRG024,TRT080,Renewal,2026-04-15,182285.34
TXN000347,POL00471,PRG017,TRT025,Adjustment,2026-07-29,234242.93
TXN000348,POL01742,PRG020,TRT039,Renewal,2026-04-15,23915.08
TXN000349,POL07715,PRG022,TRT031,Adjustment,2026-06-29,80281.66
TXN000350,POL08677,PRG021,TRT040,Adjustment,2026-01-08,362225.72
TXN000351,POL01016,PRG013,TRT039,Adjustment,2026-05-22,304330.94
TXN000352,POL01662,PRG015,TRT084,Adjustment,2026-04-18,483681.58
TXN000353,POL00297,PRG004,TRT046,Adjustment,2026-05-01,141678.19
TXN000354,POL09937,PRG015,TRT094,Adjustment,2026-07-23,332855.53
TXN000355,POL01131,PRG015,TRT002,New Business,2026-05-24,72590.49
TXN000356,POL03727,PRG003,TRT064,Renewal,2026-01-11,169723.42
TXN000357,POL09751,PRG013,TRT044,New Business,2026-08-18,217512.42
TXN000358,POL02277,PRG011,TRT040,Adjustment,2026-01-05,184869.18
TXN000359,POL09785,PRG010,TRT016,New Business,2026-05-09,50738.27
TXN000360,POL02498,PRG015,TRT073,Renewal,2026-02-02,272832.26
TXN000361,POL07284,PRG017,TRT068,Adjustment,2026-06-10,363904.53
TXN000362,POL04799,PRG023,TRT087,New Business,2026-02-04,306475.46
TXN000363,POL08316,PRG005,TRT091,Renewal,2026-05-25,277597.63
TXN000364,POL04056,PRG019,TRT043,New Business,2026-02-13,282344.76
TXN000365,POL04326,PRG019,TRT100,Renewal,2026-03-31,65801.39
