Claim_ID,Policy_ID,Program_ID,Treaty_ID,Claim_Date,Claim_Status,Claim_Amount
CLM000062,POL02605,PRG004,TRT008,2026-02-08,Open,62189.12
CLM000063,POL07591,PRG008,TRT028,2026-02-18,Closed,54693.77
CLM000064,POL05600,PRG023,TRT028,2026-03-31,Pending,204411.59
CLM000065,POL05436,PRG022,TRT028,2026-04-17,Pending,39168.7
CLM000066,POL01587,PRG015,TRT066,2026-08-05,Open,192852.67
CLM000067,POL07006,PRG008,TRT024,2026-07-25,Pending,31059.31
CLM000068,POL06669,PRG017,TRT011,2026-08-14,Pending,181782.64
CLM000069,POL08457,PRG022,TRT058,2026-05-29,Closed,42316.91
CLM000070,POL09972,PRG018,TRT014,2026-03-15,Open,32224.84
CLM000071,POL00138,PRG016,TRT063,2026-06-29,Closed,7511.5
CLM000072,POL03807,PRG004,TRT067,2026-04-05,Open,190752.31
CLM000073,POL09341,PRG024,TRT061,2026-04-15,Closed,130381.51
CLM000074,POL03757,PRG016,TRT045,2026-02-19,Pending,90290.62
CLM000075,POL00508,PRG019,TRT032,2026-01-26,Open,76032.8
CLM000076,POL08335,PRG001,TRT080,2026-08-16,Pending,149432.44
CLM000077,POL04014,PRG004,TRT004,2026-08-02,Pending,223069.39
CLM000078,POL08515,PRG002,TRT072,2026-04-13,Closed,242894.33
CLM000079,POL09295,PRG006,TRT035,2026-07-23,Closed,243099.12
CLM000080,POL05557,PRG018,TRT002,2026-01-23,Pending,93394.77
CLM000081,POL06600,PRG013,TRT071,2026-05-28,Closed,231118.11
CLM000082,POL00618,PRG019,TRT100,2026-06-27,Open,206112.96
CLM000083,POL07601,PRG014,TRT094,2026-07-30,Pending,76751.78
CLM000084,POL04611,PRG012,TRT069,2026-02-20,Open,18263.15
CLM000085,POL09830,PRG020,TRT007,2026-06-05,Open,259656.43
CLM000086,POL08342,PRG020,TRT077,2026-06-16,Open,27944.86
CLM000087,POL03653,PRG022,TRT022,2026-02-08,Pending,280308.97
CLM000088,POL09339,PRG002,TRT075,2026-01-11,Closed,298263.83
CLM000089,POL01486,PRG015,TRT048,2026-02-17,Closed,6437.98
CLM000090,POL06930,PRG016,TRT005,2026-02-15,Open,271717.75
CLM000091,POL04713,PRG022,TRT042,2026-06-12,Closed,269016.82
CLM000092,POL09171,PRG018,TRT071,2026-04-29,Pending,30497.34
CLM000093,POL03092,PRG013,TRT082,2026-01-09,Open,160043.0
CLM000094,POL01180,PRG023,TRT088,2026-08-06,Pending,182135.96
CLM000095,POL03228,PRG007,TRT088,2026-03-10,Pending,121539.35
CLM000096,POL09197,PRG014,TRT044,2026-08-04,Pending,40869.43
CLM000097,POL06766,PRG022,TRT032,2026-05-26,Pending,236710.27
CLM000098,POL00039,PRG017,TRT043,2026-08-12,Pending,186909.73
CLM000099,POL03892,PRG007,TRT073,2026-04-16,Pending,231761.85
CLM000100,POL06215,PRG025,TRT050,2026-08-17,Closed,205318.73
CLM000101,POL03044,PRG015,TRT075,2026-02-13,Pending,222259.33
CLM000102,POL07052,PRG019,TRT052,2026-01-07,Pending,299622.04
CLM000103,POL00344,PRG004,TRT029,2026-01-10,Open,255703.24
CLM000104,POL03224,PRG014,TRT064,2026-04-11,Open,192866.35
CLM000105,POL09342,PRG003,TRT077,2026-08-07,Open,100086.53
CLM000106,POL08937,PRG015,TRT083,2026-03-18,Pending,122920.59
CLM000107,POL06092,PRG014,TRT055,2026-05-13,Closed,247969.76
CLM000108,POL02863,PRG017,TRT016,2026-06-24,Pending,4165.25
CLM000109,POL05373,PRG015,TRT010,2026-02-17,Closed,203155.46
CLM000110,POL08826,PRG013,TRT023,2026-08-15,Pending,221431.09
CLM000111,POL04845,PRG010,TRT062,2026-01-02,Pending,89186.37
CLM000112,POL02453,PRG025,TRT023,2026-03-18,Open,200896.02
CLM000113,POL01571,PRG019,TRT030,2026-05-04,Pending,142097.48
CLM000114,POL08346,PRG004,TRT009,2026-08-18,Open,24051.0
CLM000115,POL02562,PRG009,TRT084,2026-05-01,Pending,268962.09
CLM000116,POL02710,PRG020,TRT002,2026-08-22,Pending,38146.51
CLM000117,POL06028,PRG010,TRT053,2026-02-22,Closed,245880.32
CLM000118,POL09864,PRG008,TRT087,2026-07-17,Open,292202.36
CLM000119,POL09604,PRG004,TRT016,2026-04-19,Closed,198780.53
CLM000120,POL07845,PRG001,TRT070,2026-02-04,Pending,101936.54
CLM000121,POL04598,PRG001,TRT019,2026-03-18,Pending,230933.44
CLM000122,POL05097,PRG010,TRT045,2026-07-23,Closed,131657.49
CLM000123,POL04175,PRG005,TRT011,2026-03-16,Open,119728.41
CLM000124,POL01768,PRG016,TRT100,2026-07-24,Closed,223757.77
CLM000125,POL08470,PRG002,TRT091,2026-08-15,Open,289736.5
CLM000126,POL02840,PRG023,TRT029,2026-06-08,Closed,227404.96
CLM000127,POL05364,PRG002,TRT094,2026-08-14,Open,133637.58
CLM000128,POL08539,PRG012,TRT035,2026-04-15,Open,186954.01
CLM000129,POL03056,PRG005,TRT098,2026-03-25,Open,70981.42
CLM000130,POL02712,PRG005,TRT075,2026-01-09,Open,60565.52
CLM000131,POL01360,PRG004,TRT066,2026-01-08,Open,106631.77
CLM000132,POL08814,PRG014,TRT027,2026-04-10,Open,73575.39
CLM000133,POL06798,PRG022,TRT015,2026-05-08,Pending,206810.1
CLM000134,POL08977,PRG023,TRT055,2026-05-31,Open,54662.61
CLM000135,POL05645,PRG020,TRT018,2026-08-17,Closed,253134.61
CLM000136,POL01688,PRG004,TRT025,2026-06-29,Pending,267000.62
CLM000137,POL09171,PRG018,TRT071,2026-06-21,Closed,229576.65
CLM000138,POL01815,PRG020,TRT035,2026-06-24,Pending,140682.76
CLM000139,POL01054,PRG017,TRT027,2026-03-14,Pending,202770.93
CLM000140,POL08987,PRG013,TRT082,2026-03-24,Open,241547.28
CLM000141,POL07835,PRG017,TRT009,2026-06-08,Closed,139512.08
CLM000142,POL07258,PRG025,TRT060,2026-06-16,Open,160012.39
CLM000143,POL03495,PRG012,TRT062,2026-05-30,Pending,165968.36
CLM000144,POL02085,PRG008,TRT080,2026-07-27,Open,180953.43
CLM000145,POL02860,PRG003,TRT075,2026-04-03,Open,29971.45
CLM000146,POL00675,PRG015,TRT033,2026-03-19,Pending,141305.56
CLM000147,POL01684,PRG020,TRT062,2026-04-13,Closed,120612.37
CLM000148,POL07334,PRG006,TRT092,2026-05-25,Open,112468.84
CLM000149,POL01946,PRG006,TRT006,2026-04-28,Closed,279935.12
CLM000150,POL03446,PRG021,TRT025,2026-05-23,Open,127974.34
CLM000151,POL01206,PRG017,TRT028,2026-02-05,Pending,52104.37
CLM000152,POL03961,PRG020,TRT065,2026-02-27,Open,283210.01
CLM000153,POL06409,PRG001,TRT041,2026-03-29,Closed,272433.0
CLM000154,POL00692,PRG008,TRT035,2026-04-13,Open,157696.93
CLM000155,POL02541,PRG011,TRT062,2026-03-04,Closed,192259.32
CLM000156,POL00464,PRG022,TRT021,2026-05-31,Pending,107404.3
CLM000157,POL09254,PRG018,TRT035,2026-04-16,Closed,272199.55
CLM000158,POL03742,PRG001,TRT040,2026-02-26,Closed,87658.58
CLM000159,POL04322,PRG019,TRT065,2026-07-16,Closed,222500.78
CLM000160,POL06535,PRG018,TRT090,2026-06-29,Pending,283577.13
CLM000161,POL03433,PRG005,TRT014,2026-02-26,Open,60692.26
CLM000162,POL00308,PRG004,TRT069,2026-08-16,Closed,107573.1
CLM000163,POL00424,PRG002,TRT052,2026-03-16,Pending,49379.82
CLM000164,POL06225,PRG023,TRT047,2026-03-19,Open,244721.13
CLM000165,POL09262,PRG014,TRT064,2026-08-29,Open,243003.94
CLM000166,POL05739,PRG010,TRT057,2026-04-15,Pending,177140.45
CLM000167,POL02814,PRG003,TRT054,2026-02-17,Pending,113261.18
CLM000168,POL08385,PRG007,TRT098,2026-08-15,Open,90241.82
CLM000169,POL06163,PRG006,TRT021,2026-03-01,Open,53392.55
CLM000170,POL02281,PRG016,TRT020,2026-01-22,Pending,2941.1
CLM000171,POL06681,PRG020,TRT035,2026-07-13,Pending,187770.46
CLM000172,POL08231,PRG001,TRT077,2026-08-13,Closed,172846.52
CLM000173,POL09139,PRG014,TRT026,2026-07-09,Closed,123291.55
CLM000174,POL09829,PRG013,TRT074,2026-07-14,Closed,163386.46
CLM000175,POL05454,PRG005,TRT001,2026-08-18,Open,187199.73
CLM000176,POL08840,PRG008,TRT034,2026-06-11,Closed,282321.49
CLM000177,POL02474,PRG016,TRT066,2026-06-14,Closed,13317.17
CLM000178,POL05616,PRG014,TRT059,2026-05-28,Closed,241797.93
CLM000179,POL08453,PRG012,TRT001,2026-05-03,Pending,206249.64
CLM000180,POL08712,PRG016,TRT055,2026-04-24,Pending,66788.09
CLM000181,POL01593,PRG024,TRT024,2026-06-14,Pending,35409.21
CLM000182,POL08296,PRG021,TRT054,2026-03-24,Pending,10197.15
CLM000183,POL07838,PRG003,TRT076,2026-07-26,Closed,12641.89
CLM000184,POL03748,PRG017,TRT027,2026-05-29,Open,177220.85
CLM000185,POL09907,PRG006,TRT074,2026-01-14,Open,98273.23
CLM000186,POL01232,PRG004,TRT032,2026-08-18,Pending,254378.13
CLM000187,POL03442,PRG024,TRT020,2026-02-11,Open,291044.75
CLM000188,POL02620,PRG017,TRT050,2026-03-18,Pending,199341.54
CLM000189,POL04647,PRG013,TRT045,2026-05-10,Pending,132363.59
CLM000190,POL05250,PRG008,TRT036,2026-08-26,Open,206994.83
CLM000191,POL03887,PRG013,TRT009,2026-04-01,Closed,170839.41
CLM000192,POL01212,PRG007,TRT035,2026-04-05,Pending,214745.91
CLM000193,POL06625,PRG003,TRT024,2026-07-11,Open,131482.17
CLM000194,POL06254,PRG023,TRT090,2026-02-03,Closed,45117.49
CLM000195,POL05716,PRG001,TRT074,2026-03-19,Open,78961.16
CLM000196,POL05424,PRG004,TRT010,2026-08-13,Pending,248447.84
CLM000197,POL05869,PRG011,TRT022,2026-07-03,Closed,45975.07
CLM000198,POL07150,PRG001,TRT094,2026-05-14,Closed,154580.66
CLM000199,POL07773,PRG020,TRT002,2026-04-23,Pending,91077.69
CLM000200,POL09202,PRG005,TRT003,2026-06-02,Open,226400.3
CLM000201,POL07515,PRG019,TRT083,2026-02-06,Pending,5301.03
CLM000202,POL09034,PRG018,TRT034,2026-05-22,Open,8320.35
CLM000203,POL08537,PRG007,TRT050,2026-03-10,Closed,276736.24
CLM000204,POL08824,PRG003,TRT072,2026-05-03,Pending,252569.09
CLM000205,POL06487,PRG001,TRT046,2026-05-05,Pending,66616.41
CLM000206,POL04690,PRG016,TRT090,2026-04-29,Pending,299602.85
CLM000207,POL01365,PRG003,TRT053,2026-05-19,Pending,237326.17
CLM000208,POL09062,PRG012,TRT072,2026-07-31,Open,61243.14
CLM000209,POL03750,PRG024,TRT061,2026-05-01,Open,30999.03
CLM000210,POL00484,PRG015,TRT013,2026-07-02,Pending,100749.9
CLM000211,POL03292,PRG008,TRT057,2026-06-23,Pending,57049.35
CLM000212,POL01803,PRG001,TRT005,2026-02-28,Open,240892.85
CLM000213,POL05945,PRG019,TRT048,2026-04-24,Closed,163454.65
CLM000214,POL00237,PRG011,TRT011,2026-01-26,Open,234235.37
CLM000215,POL01879,PRG006,TRT003,2026-05-29,Open,158404.05
CLM000216,POL07525,PRG013,TRT039,2026-07-05,Open,299040.59
CLM000217,POL06386,PRG022,TRT022,2026-05-30,Open,273585.06
CLM000218,POL06573,PRG017,TRT052,2026-01-31,Pending,10144.33
CLM000219,POL00252,PRG022,TRT092,2026-06-02,Closed,158784.65
CLM000220,POL00979,PRG008,TRT080,2026-05-15,Pending,296923.38
CLM000221,POL02662,PRG012,TRT076,2026-06-18,Closed,45879.08
CLM000222,POL07456,PRG013,TRT084,2026-03-25,Open,220393.59
CLM000223,POL05154,PRG014,TRT047,2026-06-20,Open,200747.6
CLM000224,POL09080,PRG025,TRT091,2026-02-25,Open,230739.41
CLM000225,POL06469,PRG007,TRT030,2026-07-28,Open,257902.47
CLM000226,POL00630,PRG004,TRT086,2026-06-01,Closed,87451.59
CLM000227,POL06270,PRG013,TRT064,2026-07-27,Closed,165045.42
CLM000228,POL05431,PRG025,TRT025,2026-05-04,Pending,13240.16
CLM000229,POL08467,PRG004,TRT024,2026-02-25,Pending,131501.34
CLM000230,POL05974,PRG002,TRT031,2026-08-22,Closed,254502.57
CLM000231,POL00953,PRG009,TRT032,2026-02-15,Open,30981.45
CLM000232,POL09226,PRG017,TRT003,2026-07-09,Open,276311.94
CLM000233,POL02093,PRG006,TRT100,2026-05-13,Pending,29492.3
CLM000234,POL07270,PRG021,TRT014,2026-06-07,Pending,69766.49
CLM000235,POL01600,PRG003,TRT055,2026-01-04,Pending,256300.89
CLM000236,POL02086,PRG024,TRT060,2026-05-25,Pending,134288.81
CLM000237,POL07997,PRG006,TRT085,2026-08-29,Closed,241518.74
CLM000238,POL08521,PRG013,TRT002,2026-07-01,Closed,3097.16
CLM000239,POL05065,PRG010,TRT063,2026-06-11,Pending,247554.67
CLM000240,POL09627,PRG012,TRT079,2026-08-22,Open,104641.57
CLM000241,POL04766,PRG002,TRT099,2026-08-02,Closed,176639.33
CLM000242,POL08807,PRG022,TRT070,2026-06-17,Pending,131463.08
CLM000243,POL09708,PRG003,TRT089,2026-01-24,Open,57194.93
CLM000244,POL01839,PRG022,TRT095,2026-07-11,Open,125795.98
CLM000245,POL07226,PRG016,TRT068,2026-01-07,Open,20341.01
CLM000246,POL00181,PRG002,TRT029,2026-07-16,Pending,183820.03
CLM000247,POL07405,PRG002,TRT084,2026-05-01,Closed,267064.92
CLM000248,POL00051,PRG018,TRT090,2026-07-24,Pending,147344.37
CLM000249,POL09543,PRG022,TRT023,2026-05-24,Closed,114860.75
CLM000250,POL05114,PRG004,TRT028,2026-03-22,Closed,149663.51
CLM000251,POL00583,PRG004,TRT027,2026-06-06,Pending,135254.71
CLM000252,POL04594,PRG011,TRT090,2026-03-19,Closed,121604.02
CLM000253,POL01514,PRG011,TRT083,2026-04-24,Open,86323.93
CLM000254,POL05411,PRG011,TRT067,2026-03-17,Pending,281790.52
CLM000255,POL05236,PRG015,TRT076,2026-07-29,Closed,131902.0
CLM000256,POL02215,PRG001,TRT015,2026-06-22,Open,56542.47
CLM000257,POL06112,PRG011,TRT040,2026-08-21,Pending,24313.64
CLM000258,POL03215,PRG018,TRT061,2026-05-27,Open,208399.22
CLM000259,POL07571,PRG011,TRT074,2026-08-10,Closed,122699.23
CLM000260,POL01808,PRG014,TRT092,2026-01-11,Open,144628.22
CLM000261,POL05737,PRG022,TRT083,2026-01-08,Open,46651.35
CLM000262,POL00660,PRG014,TRT047,2026-05-13,Pending,103678.26
CLM000263,POL03256,PRG015,TRT098,2026-04-02,Pending,11352.08
CLM000264,POL04587,PRG021,TRT099,2026-06-19,Closed,233875.97
CLM000265,POL06594,PRG016,TRT093,2026-02-11,Closed,171294.64
CLM000266,POL04322,PRG019,TRT065,2026-03-09,Open,131263.89
CLM000267,POL08346,PRG004,TRT009,2026-06-17,Open,245951.77
CLM000268,POL02512,PRG016,TRT045,2026-07-27,Closed,121339.05
CLM000269,POL08716,PRG023,TRT088,2026-05-09,Pending,80178.25
CLM000270,POL09746,PRG006,TRT059,2026-05-16,Closed,230891.79
CLM000271,POL00815,PRG024,TRT033,2026-08-23,Closed,223170.2
CLM000272,POL02970,PRG012,TRT053,2026-07-24,Open,227579.9
CLM000273,POL03853,PRG007,TRT086,2026-06-21,Open,37188.58
CLM000274,POL02217,PRG006,TRT068,2026-03-16,Pending,12254.5
CLM000275,POL06501,PRG022,TRT048,2026-06-15,Pending,12760.22
CLM000276,POL08734,PRG016,TRT055,2026-04-02,Closed,267503.73
CLM000277,POL05413,PRG009,TRT046,2026-04-01,Open,195907.39
CLM000278,POL06946,PRG007,TRT032,2026-02-09,Open,191346.19
CLM000279,POL00886,PRG015,TRT059,2026-06-06,Closed,269236.64
CLM000280,POL07008,PRG004,TRT032,2026-01-31,Open,120964.97
CLM000281,POL04815,PRG008,TRT100,2026-04-13,Closed,234081.76
CLM000282,POL00242,PRG008,TRT096,2026-08-16,Closed,199874.19
CLM000283,POL07461,PRG019,TRT051,2026-07-15,Pending,87810.49
CLM000284,POL06704,PRG010,TRT029,2026-07-06,Pending,274755.25
CLM000285,POL01596,PRG019,TRT077,2026-01-16,Pending,172057.93
CLM000286,POL04262,PRG005,TRT083,2026-06-08,Closed,84673.57
CLM000287,POL08602,PRG021,TRT002,2026-03-09,Closed,144355.66
CLM000288,POL05815,PRG005,TRT095,2026-06-25,Pending,268024.91
CLM000289,POL00655,PRG020,TRT065,2026-04-14,Closed,203266.88
CLM000290,POL00229,PRG017,TRT079,2026-03-31,Pending,153599.9
CLM000291,POL00912,PRG020,TRT088,2026-05-03,Closed,167439.43
CLM000292,POL00937,PRG023,TRT071,2026-02-22,Pending,64508.25
CLM000293,POL04599,PRG002,TRT063,2026-06-29,Open,82913.71
CLM000294,POL03088,PRG005,TRT080,2026-01-27,Closed,13526.04
CLM000295,POL04886,PRG014,TRT035,2026-08-07,Open,213232.12
CLM000296,POL01119,PRG011,TRT086,2026-04-20,Pending,100744.89
CLM000297,POL09021,PRG007,TRT048,2026-03-09,Open,124005.2
CLM000298,POL06441,PRG001,TRT093,2026-03-18,Closed,212883.31
CLM000299,POL05966,PRG018,TRT018,2026-07-13,Open,246902.38
CLM000300,POL04088,PRG009,TRT098,2026-03-30,Closed,200650.25
CLM000301,POL09825,PRG010,TRT052,2026-03-07,Pending,102950.68
CLM000302,POL00717,PRG003,TRT014,2026-08-06,Open,182587.01
CLM000303,POL01935,PRG016,TRT001,2026-03-06,Pending,64367.15
CLM000304,POL04064,PRG023,TRT011,2026-03-23,Pending,35237.31
CLM000305,POL07349,PRG017,TRT014,2026-01-11,Pending,258828.18
CLM000306,POL06207,PRG012,TRT024,2026-05-12,Closed,229887.5
CLM000307,POL04259,PRG012,TRT060,2026-01-11,Open,263798.2
CLM000308,POL09695,PRG014,TRT092,2026-08-17,Pending,20147.13
CLM000309,POL08152,PRG009,TRT041,2026-04-08,Open,231951.43
CLM000310,POL02668,PRG009,TRT076,2026-07-10,Pending,179793.03
CLM000311,POL08468,PRG021,TRT065,2026-01-21,Pending,193722.85
CLM000312,POL08007,PRG008,TRT003,2026-05-21,Open,245796.9
CLM000313,POL04528,PRG022,TRT032,2026-02-23,Pending,39437.75
CLM000314,POL03404,PRG012,TRT069,2026-05-21,Pending,188287.53
CLM000315,POL00579,PRG005,TRT054,2026-04-12,Closed,134452.78
CLM000316,POL00664,PRG022,TRT090,2026-02-20,Open,76911.07
CLM000317,POL01103,PRG006,TRT089,2026-01-09,Closed,200069.15
CLM000318,POL00222,PRG006,TRT052,2026-04-30,Pending,195907.42
CLM000319,POL07177,PRG021,TRT001,2026-04-07,Open,89356.29
CLM000320,POL00431,PRG003,TRT073,2026-05-23,Pending,31930.46
CLM000321,POL04930,PRG022,TRT012,2026-07-15,Closed,269291.89
CLM000322,POL05535,PRG019,TRT086,2026-06-18,Pending,142637.34
CLM000323,POL07622,PRG020,TRT087,2026-07-09,Closed,184037.95
CLM000324,POL04518,PRG008,TRT025,2026-07-11,Closed,161782.94
CLM000325,POL07723,PRG001,TRT075,2026-06-16,Pending,170050.35
CLM000326,POL07837,PRG023,TRT034,2026-04-07,Open,60206.01
CLM000327,POL06612,PRG021,TRT027,2026-03-12,Closed,155747.38
CLM000328,POL05949,PRG013,TRT099,2026-03-03,Open,269984.1
CLM000329,POL07293,PRG022,TRT011,2026-04-30,Pending,24090.63
CLM000330,POL08178,PRG016,TRT044,2026-05-26,Closed,141964.94
CLM000331,POL07722,PRG010,TRT004,2026-04-26,Closed,171154.4
CLM000332,POL00718,PRG003,TRT079,2026-08-06,Open,93069.82
CLM000333,POL06295,PRG014,TRT079,2026-04-14,Closed,287127.43
CLM000334,POL05506,PRG019,TRT013,2026-04-27,Closed,296308.8
CLM000335,POL01487,PRG010,TRT050,2026-03-31,Open,241073.48
CLM000336,POL07153,PRG012,TRT072,2026-07-20,Pending,95350.76
CLM000337,POL06117,PRG002,TRT042,2026-03-10,Closed,202384.63
CLM000338,POL02523,PRG018,TRT100,2026-07-28,Closed,133590.37
CLM000339,POL08315,PRG003,TRT029,2026-04-01,Pending,150751.98
CLM000340,POL03343,PRG002,TRT008,2026-07-01,Open,37365.63
CLM000341,POL02999,PRG002,TRT074,2026-02-15,Pending,246410.87
CLM000342,POL08351,PRG013,TRT075,2026-01-27,Open,140525.04
CLM000343,POL04106,PRG005,TRT062,2026-08-12,Pending,162285.6
CLM000344,POL06826,PRG019,TRT040,2026-07-28,Closed,166129.21
CLM000345,POL04763,PRG022,TRT081,2026-03-08,Closed,210008.84
CLM000346,POL06247,PRG001,TRT090,2026-01-19,Open,189705.34
CLM000347,POL09731,PRG023,TRT062,2026-06-08,Pending,293089.15
CLM000348,POL03487,PRG022,TRT010,2026-05-13,Open,90060.55
CLM000349,POL05614,PRG010,TRT088,2026-01-09,Pending,227381.84
CLM000350,POL09447,PRG024,TRT043,2026-01-04,Open,233442.38
CLM000351,POL08084,PRG008,TRT073,2026-08-24,Open,69734.85
CLM000352,POL05515,PRG008,TRT067,2026-01-08,Pending,133464.54
CLM000353,POL09408,PRG010,TRT022,2026-05-23,Closed,250921.89
CLM000354,POL03035,PRG024,TRT060,2026-08-03,Pending,173939.08
CLM000355,POL06231,PRG006,TRT063,2026-08-16,Open,256287.49
CLM000356,POL02044,PRG021,TRT053,2026-05-27,Closed,65531.67
CLM000357,POL09359,PRG013,TRT052,2026-08-13,Open,191477.37
CLM000358,POL06462,PRG012,TRT009,2026-07-04,Open,218686.92
CLM000359,POL01901,PRG020,TRT014,2026-01-02,Closed,62223.06
CLM000360,POL04170,PRG022,TRT023,2026-03-12,Open,23589.6
CLM000361,POL09889,PRG001,TRT037,2026-06-04,Closed,30874.86
CLM000362,POL08706,PRG001,TRT007,2026-06-15,Closed,210705.28
CLM000363,POL05798,PRG019,TRT044,2026-05-20,Closed,185283.83
CLM000364,POL06506,PRG001,TRT021,2026-08-21,Pending,267350.19
CLM000365,POL09535,PRG017,TRT042,2026-06-17,Pending,211327.23
CLM000366,POL08037,PRG010,TRT042,2026-03-22,Closed,43778.63
CLM000367,POL00337,PRG018,TRT100,2026-07-24,Open,106765.39
CLM000368,POL07382,PRG019,TRT038,2026-02-15,Closed,246727.43
CLM000369,POL07555,PRG005,TRT003,2026-02-10,Pending,144934.73
CLM000370,POL00543,PRG015,TRT004,2026-03-19,Pending,25086.28
CLM000371,POL03299,PRG001,TRT099,2026-03-01,Pending,157954.69
CLM000372,POL06882,PRG019,TRT018,2026-07-15,Closed,44175.48
CLM000373,POL01653,PRG006,TRT075,2026-02-02,Pending,237133.08
CLM000374,POL07934,PRG008,TRT076,2026-03-10,Pending,105335.71
CLM000375,POL01520,PRG018,TRT095,2026-04-21,Open,107530.85
CLM000376,POL06493,PRG014,TRT055,2026-03-29,Pending,49403.24
CLM000377,POL08284,PRG015,TRT038,2026-05-20,Closed,140863.98
CLM000378,POL07051,PRG021,TRT090,2026-07-19,Pending,85926.4
CLM000379,POL02162,PRG019,TRT056,2026-01-26,Closed,140749.81
