Policy_ID,Program_ID,Treaty_ID,Effective_Date,Expiry_Date,Premium,Region,Risk_Category
POL00077,PRG004,TRT028,2026-05-06,2027-06-14,383378.04,South,Low
POL00078,PRG013,TRT014,2026-06-04,2027-02-19,475743.71,North,Critical
POL00079,PRG007,TRT095,2025-01-19,2026-11-18,448449.84,East,Critical
POL00080,PRG002,TRT021,2025-05-22,2027-01-29,63056.48,East,Critical
POL00081,PRG023,TRT028,2025-12-02,2026-11-29,292692.73,West,Medium
POL00082,PRG022,TRT024,2025-11-07,2027-04-07,218579.0,South,Low
POL00083,PRG023,TRT073,2025-02-27,2026-02-11,468411.68,East,Medium
POL00084,PRG020,TRT075,2025-12-31,2026-07-16,221862.16,South,Medium
POL00085,PRG004,TRT047,2026-04-19,2026-12-21,493718.46,South,Medium
POL00086,PRG025,TRT055,2026-04-01,2027-12-10,246919.17,East,Critical
POL00087,PRG017,TRT078,2025-08-07,2027-06-18,89736.02,West,Low
POL00088,PRG006,TRT053,2026-04-01,2028-02-23,206937.56,East,Medium
POL00089,PRG005,TRT030,2026-12-15,2028-05-09,328222.44,West,Critical
POL00090,PRG001,TRT058,2025-12-12,2026-07-01,146267.01,West,Critical
POL00091,PRG003,TRT019,2025-02-13,2026-09-28,406434.01,East,Medium
POL00092,PRG021,TRT052,2025-03-17,2025-12-16,411892.18,East,Medium
POL00093,PRG002,TRT015,2025-12-05,2026-11-10,33444.6,West,Medium
POL00094,PRG012,TRT093,2026-09-02,2028-07-30,471969.32,East,Critical
POL00095,PRG007,TRT037,2026-04-30,2027-01-30,197570.87,North,Low
POL00096,PRG004,TRT003,2026-06-21,2028-01-13,333099.81,South,High
POL00097,PRG018,TRT034,2026-03-06,2027-05-07,450754.72,South,Medium
POL00098,PRG006,TRT025,2025-02-12,2026-04-25,326012.91,North,Medium
POL00099,PRG007,TRT016,2026-01-12,2026-11-01,440707.0,North,Low
POL00100,PRG011,TRT007,2026-11-22,2027-09-21,352573.34,North,Medium
POL00101,PRG003,TRT017,2026-11-01,2027-11-16,78174.24,South,Critical
POL00102,PRG004,TRT008,2026-12-23,2027-11-24,347079.57,South,Medium
POL00103,PRG014,TRT032,2025-01-08,2025-11-11,342921.13,South,Low
POL00104,PRG007,TRT100,2026-06-19,2028-04-29,373972.77,West,Critical
POL00105,PRG023,TRT071,2025-04-28,2026-07-24,42202.22,East,Low
POL00106,PRG020,TRT081,2026-04-09,2027-03-10,237863.05,West,Medium
POL00107,PRG015,TRT097,2026-11-25,2027-07-12,241796.22,West,High
POL00108,PRG001,TRT043,2026-10-06,2027-07-10,225045.15,South,High
POL00109,PRG004,TRT084,2025-08-11,2026-04-16,266797.65,North,Low
POL00110,PRG019,TRT018,2026-02-16,2027-02-04,111300.52,North,Critical
POL00111,PRG011,TRT015,2026-12-28,2028-02-12,324868.2,North,Critical
POL00112,PRG016,TRT032,2026-11-03,2027-07-11,337358.7,North,Medium
POL00113,PRG014,TRT098,2026-03-11,2026-10-05,135069.46,West,High
POL00114,PRG024,TRT041,2026-05-17,2027-10-28,234665.31,South,Low
POL00115,PRG003,TRT078,2025-11-04,2027-09-23,243590.08,East,High
POL00116,PRG014,TRT085,2026-04-13,2027-06-22,322233.58,South,Low
POL00117,PRG014,TRT026,2026-09-08,2027-06-05,455415.15,North,Medium
POL00118,PRG023,TRT018,2026-03-15,2027-05-02,298896.24,West,Medium
POL00119,PRG021,TRT075,2025-05-15,2026-08-10,257662.85,North,Critical
POL00120,PRG007,TRT007,2026-04-15,2026-12-09,89415.4,North,Low
POL00121,PRG003,TRT038,2025-09-14,2026-12-07,495992.11,East,High
POL00122,PRG007,TRT100,2025-09-24,2027-01-15,72912.92,East,Medium
POL00123,PRG014,TRT020,2025-08-08,2027-01-25,461214.97,South,Critical
POL00124,PRG025,TRT094,2025-11-03,2027-07-05,137399.38,West,Low
POL00125,PRG003,TRT084,2026-04-05,2027-04-22,356241.33,East,Low
POL00126,PRG022,TRT061,2026-05-12,2027-04-21,322569.05,West,Low
POL00127,PRG015,TRT094,2025-11-08,2026-06-08,421728.1,West,High
POL00128,PRG018,TRT086,2026-03-25,2027-09-18,126916.75,North,Medium
POL00129,PRG012,TRT079,2026-01-29,2027-08-04,344267.12,South,Critical
POL00130,PRG015,TRT035,2026-04-29,2027-08-14,387865.42,South,Low
POL00131,PRG001,TRT056,2025-08-22,2026-08-23,292856.78,West,Critical
POL00132,PRG011,TRT026,2025-08-21,2027-07-29,295408.97,South,Critical
POL00133,PRG002,TRT089,2026-09-10,2028-05-23,344579.84,North,Medium
POL00134,PRG022,TRT080,2026-07-24,2028-02-15,45550.48,South,Medium
POL00135,PRG013,TRT087,2025-10-26,2027-05-03,367043.96,East,Medium
POL00136,PRG014,TRT055,2026-09-19,2028-04-03,471137.26,South,High
POL00137,PRG015,TRT032,2025-06-11,2026-02-19,213494.89,North,High
POL00138,PRG016,TRT063,2026-08-22,2028-08-21,95921.09,North,Critical
POL00139,PRG011,TRT093,2025-02-06,2026-07-25,78705.54,West,Critical
POL00140,PRG003,TRT100,2025-11-21,2026-10-31,340435.1,North,Low
POL00141,PRG023,TRT085,2025-09-20,2027-04-08,477613.0,North,Critical
POL00142,PRG018,TRT087,2026-05-07,2027-10-23,426370.34,East,Medium
POL00143,PRG014,TRT078,2026-11-11,2027-12-22,414471.59,South,Low
POL00144,PRG021,TRT058,2025-09-10,2027-05-16,252087.66,West,High
POL00145,PRG015,TRT020,2025-01-18,2026-04-28,41458.38,South,Critical
POL00146,PRG004,TRT008,2025-02-01,2026-11-18,360971.44,South,Low
POL00147,PRG016,TRT051,2026-07-04,2028-04-01,441830.42,North,Low
POL00148,PRG015,TRT001,2026-08-05,2027-09-25,454169.19,West,Critical
POL00149,PRG020,TRT026,2025-02-02,2027-01-07,29592.52,West,High
POL00150,PRG014,TRT011,2026-10-20,2028-06-25,123941.07,West,Medium
POL00151,PRG011,TRT043,2025-12-29,2027-11-01,222860.97,East,Low
POL00152,PRG020,TRT084,2026-07-31,2027-08-04,96754.64,East,Critical
POL00153,PRG011,TRT022,2026-11-29,2028-08-08,140194.72,South,Low
POL00154,PRG021,TRT052,2025-12-02,2027-09-27,184165.24,West,Critical
POL00155,PRG019,TRT015,2025-05-16,2026-01-31,277494.11,East,Critical
POL00156,PRG004,TRT005,2025-10-28,2026-08-18,172463.02,North,High
POL00157,PRG014,TRT019,2025-05-31,2025-12-23,288637.6,West,Low
POL00158,PRG013,TRT090,2026-09-19,2028-08-23,361407.18,South,Low
POL00159,PRG001,TRT082,2026-06-14,2027-10-30,208610.47,West,Critical
POL00160,PRG009,TRT001,2025-08-20,2026-03-14,32179.47,West,Medium
POL00161,PRG023,TRT016,2026-03-24,2027-12-12,13991.94,East,Medium
POL00162,PRG001,TRT066,2025-04-29,2027-01-29,60376.66,North,Critical
POL00163,PRG015,TRT007,2026-06-13,2026-12-31,319819.32,North,Low
POL00164,PRG003,TRT026,2025-03-05,2026-07-17,96448.71,South,Critical
POL00165,PRG021,TRT069,2025-07-06,2027-01-21,329155.04,West,Low
POL00166,PRG008,TRT090,2025-02-14,2026-07-18,358473.95,South,Critical
POL00167,PRG022,TRT054,2025-05-08,2026-06-25,395523.56,South,High
POL00168,PRG020,TRT046,2026-09-09,2027-03-13,168767.07,East,Critical
POL00169,PRG005,TRT077,2026-07-17,2027-11-30,103820.96,North,Critical
POL00170,PRG021,TRT057,2026-06-13,2027-01-07,183919.39,North,High
POL00171,PRG014,TRT015,2025-03-13,2026-07-02,156268.56,East,Medium
POL00172,PRG023,TRT070,2026-03-28,2026-10-04,167276.03,North,Medium
POL00173,PRG009,TRT058,2025-07-12,2026-12-28,347748.98,West,Critical
POL00174,PRG005,TRT074,2026-01-16,2027-11-14,495885.39,West,High
POL00175,PRG018,TRT042,2025-08-19,2026-06-22,234946.69,East,Critical
POL00176,PRG006,TRT056,2026-07-13,2027-05-08,225234.11,East,High
POL00177,PRG017,TRT062,2025-12-07,2027-04-21,463204.43,North,Low
POL00178,PRG005,TRT045,2025-10-25,2026-10-20,105943.77,South,Critical
POL00179,PRG001,TRT084,2026-08-18,2027-11-13,257695.6,North,Critical
POL00180,PRG024,TRT080,2025-01-18,2025-08-22,186450.38,North,Critical
POL00181,PRG002,TRT029,2025-02-21,2026-11-07,209954.54,North,Medium
POL00182,PRG024,TRT010,2026-08-17,2027-05-29,467159.43,North,Medium
POL00183,PRG011,TRT003,2025-07-16,2027-04-27,433879.89,South,High
POL00184,PRG009,TRT046,2025-09-14,2026-11-05,367655.06,East,High
POL00185,PRG001,TRT011,2026-01-13,2026-10-28,248356.31,East,Critical
POL00186,PRG007,TRT029,2026-01-07,2026-10-08,445261.19,South,Medium
POL00187,PRG006,TRT015,2026-09-12,2027-04-26,354321.47,East,High
POL00188,PRG025,TRT008,2026-02-21,2026-12-20,208536.02,East,Medium
POL00189,PRG021,TRT084,2026-06-20,2027-05-07,163510.99,North,Medium
POL00190,PRG019,TRT078,2025-02-13,2026-12-20,379090.62,South,Critical
POL00191,PRG012,TRT024,2025-04-12,2027-04-02,275300.0,West,High
POL00192,PRG016,TRT097,2025-02-07,2026-01-04,304915.1,North,High
POL00193,PRG009,TRT049,2025-11-20,2026-09-29,204686.77,West,Critical
POL00194,PRG021,TRT035,2026-02-22,2027-11-22,156962.73,South,Low
POL00195,PRG001,TRT077,2026-04-15,2027-09-14,143516.3,South,High
POL00196,PRG015,TRT025,2026-05-22,2027-03-23,103084.87,West,Low
POL00197,PRG024,TRT039,2025-07-14,2026-06-08,225301.3,East,Medium
POL00198,PRG014,TRT083,2026-03-25,2027-10-31,352829.54,West,Low
POL00199,PRG016,TRT049,2026-12-15,2028-07-10,381147.95,West,Medium
POL00200,PRG020,TRT063,2026-09-09,2028-03-21,441212.88,North,Critical
POL00201,PRG024,TRT010,2025-09-29,2026-09-06,107143.44,East,Low
POL00202,PRG019,TRT023,2025-01-22,2026-10-25,155146.73,East,Critical
POL00203,PRG010,TRT075,2026-05-12,2027-10-26,372565.93,South,Medium
POL00204,PRG006,TRT075,2025-12-03,2026-07-23,366699.2,South,High
POL00205,PRG025,TRT053,2025-02-04,2025-09-07,422980.98,East,High
POL00206,PRG006,TRT095,2025-09-04,2026-10-12,261540.77,North,Low
POL00207,PRG024,TRT044,2025-11-24,2027-08-12,336444.51,East,Medium
POL00208,PRG017,TRT033,2026-09-27,2028-08-11,297753.81,North,High
POL00209,PRG007,TRT038,2025-03-16,2027-02-23,256933.14,South,Critical
POL00210,PRG022,TRT012,2026-07-28,2027-02-05,372248.22,East,Critical
POL00211,PRG019,TRT075,2025-02-27,2026-05-06,492653.14,East,High
POL00212,PRG024,TRT040,2025-09-19,2027-03-17,210836.28,North,Medium
POL00213,PRG024,TRT013,2025-09-08,2026-08-16,77154.87,West,Low
POL00214,PRG007,TRT009,2026-03-08,2027-07-18,13167.13,South,Medium
POL00215,PRG017,TRT028,2025-09-19,2027-06-03,103950.92,West,Medium
POL00216,PRG019,TRT033,2025-07-13,2026-07-05,288892.52,North,Critical
POL00217,PRG010,TRT033,2025-05-11,2025-11-21,243140.59,South,Medium
POL00218,PRG018,TRT062,2025-11-05,2026-10-03,467745.8,East,Medium
POL00219,PRG015,TRT005,2026-03-21,2027-06-16,16359.56,North,High
POL00220,PRG017,TRT047,2026-07-14,2027-05-18,18633.97,East,Critical
POL00221,PRG023,TRT096,2025-10-23,2027-04-23,94393.2,North,High
POL00222,PRG006,TRT052,2026-07-12,2028-06-14,170271.79,North,High
POL00223,PRG017,TRT088,2025-06-11,2026-11-10,198987.93,North,Critical
POL00224,PRG011,TRT034,2025-07-19,2026-07-15,60432.54,West,Medium
POL00225,PRG003,TRT018,2026-02-04,2027-08-13,398993.77,North,Low
POL00226,PRG004,TRT059,2026-06-12,2027-12-23,249371.16,West,High
POL00227,PRG003,TRT059,2025-07-13,2027-03-29,409669.79,West,Low
POL00228,PRG009,TRT071,2026-12-16,2027-12-28,493567.31,East,High
POL00229,PRG017,TRT079,2025-03-11,2026-03-20,465256.1,West,High
POL00230,PRG015,TRT050,2025-08-10,2026-06-07,414608.66,West,Low
POL00231,PRG021,TRT045,2025-11-21,2026-11-25,217333.97,West,Low
POL00232,PRG021,TRT029,2026-06-20,2027-04-27,262531.57,South,Low
POL00233,PRG001,TRT034,2025-09-13,2026-11-12,289760.29,North,High
POL00234,PRG021,TRT025,2025-04-21,2027-01-28,337766.53,East,Medium
POL00235,PRG001,TRT053,2025-09-05,2026-07-25,106793.09,North,High
POL00236,PRG020,TRT050,2025-01-01,2026-12-16,206285.33,South,High
POL00237,PRG011,TRT011,2026-09-07,2028-06-18,303476.24,East,High
POL00238,PRG023,TRT048,2025-07-14,2027-01-14,73783.29,South,Critical
POL00239,PRG015,TRT068,2025-07-21,2027-03-30,163659.06,East,High
POL00240,PRG021,TRT012,2026-06-03,2027-12-12,263753.73,West,Medium
POL00241,PRG014,TRT098,2025-01-03,2026-12-22,477998.7,West,Medium
POL00242,PRG008,TRT096,2026-01-21,2027-02-25,121746.84,South,High
POL00243,PRG006,TRT018,2025-06-09,2027-02-06,226842.09,South,Medium
POL00244,PRG022,TRT054,2026-03-15,2027-01-28,341229.5,North,Medium
POL00245,PRG001,TRT087,2026-03-18,2026-11-23,66000.01,South,High
POL00246,PRG013,TRT086,2026-02-10,2027-06-26,265030.37,East,Medium
POL00247,PRG024,TRT081,2026-08-22,2028-05-29,27013.47,South,Low
POL00248,PRG018,TRT084,2025-03-25,2025-12-07,269694.65,West,Medium
POL00249,PRG007,TRT071,2026-01-02,2026-07-24,292809.52,South,High
POL00250,PRG007,TRT025,2025-02-19,2026-12-09,314488.26,South,Medium
POL00251,PRG014,TRT045,2026-09-26,2027-03-29,200708.47,North,High
POL00252,PRG022,TRT092,2025-08-10,2026-05-12,462011.06,West,High
POL00253,PRG002,TRT074,2026-05-30,2028-03-15,69934.46,West,Critical
POL00254,PRG012,TRT083,2026-10-27,2027-05-04,389447.46,West,High
POL00255,PRG004,TRT008,2025-01-21,2026-02-17,72435.56,East,High
POL00256,PRG014,TRT018,2026-07-30,2027-02-16,294909.44,South,Medium
POL00257,PRG013,TRT036,2025-08-05,2027-03-22,202091.74,North,Medium
POL00258,PRG022,TRT012,2026-02-12,2026-09-12,157629.18,East,High
POL00259,PRG002,TRT031,2025-06-29,2027-01-20,367063.41,West,Medium
POL00260,PRG019,TRT027,2026-09-10,2028-04-12,371743.44,West,Critical
POL00261,PRG023,TRT011,2025-07-25,2026-11-23,93845.97,North,Medium
POL00262,PRG012,TRT098,2026-09-13,2027-10-16,233147.76,West,High
POL00263,PRG013,TRT076,2026-04-01,2027-04-05,279569.32,East,Critical
POL00264,PRG019,TRT032,2025-03-01,2026-01-17,272528.54,West,Critical
POL00265,PRG009,TRT067,2026-04-03,2027-09-30,361259.53,East,Critical
POL00266,PRG015,TRT075,2025-10-26,2027-04-11,87054.08,South,High
POL00267,PRG021,TRT099,2026-12-05,2027-06-10,165958.45,East,Medium
POL00268,PRG018,TRT008,2025-11-25,2026-07-03,229963.73,West,Low
POL00269,PRG005,TRT018,2026-07-30,2028-03-29,178765.37,South,High
POL00270,PRG017,TRT030,2025-11-24,2026-10-03,367461.93,East,High
POL00271,PRG010,TRT096,2026-01-29,2026-07-28,290732.41,East,Medium
POL00272,PRG006,TRT035,2026-11-26,2028-11-11,143407.76,East,High
POL00273,PRG019,TRT010,2025-05-07,2026-06-16,250629.27,East,High
POL00274,PRG015,TRT004,2025-06-16,2026-07-26,48608.5,South,Low
POL00275,PRG020,TRT061,2025-01-28,2026-05-29,350505.57,West,Medium
POL00276,PRG016,TRT094,2026-04-02,2027-11-18,429571.1,North,Low
POL00277,PRG011,TRT095,2026-03-14,2028-01-29,473426.88,West,Low
POL00278,PRG004,TRT033,2025-06-02,2027-01-29,151692.02,South,Critical
POL00279,PRG024,TRT065,2025-05-13,2026-04-10,368730.74,South,Critical
POL00280,PRG024,TRT070,2026-09-14,2027-11-20,62025.65,West,Critical
POL00281,PRG018,TRT008,2025-03-02,2026-12-12,461895.46,East,Critical
POL00282,PRG012,TRT023,2025-06-18,2027-02-22,230452.66,West,Low
POL00283,PRG021,TRT020,2026-10-22,2027-10-13,44823.11,West,High
POL00284,PRG004,TRT074,2025-09-01,2027-06-02,389953.05,North,Medium
POL00285,PRG012,TRT068,2025-02-18,2026-11-29,133478.02,West,Medium
POL00286,PRG014,TRT086,2025-06-09,2027-02-05,98266.48,East,Critical
POL00287,PRG016,TRT070,2026-01-17,2027-12-21,203341.9,South,Low
POL00288,PRG023,TRT012,2025-04-28,2026-02-24,130850.76,South,High
POL00289,PRG008,TRT014,2026-06-25,2027-11-23,416035.62,West,Low
POL00290,PRG006,TRT086,2026-10-02,2028-09-24,43430.62,East,High
POL00291,PRG022,TRT046,2026-04-22,2027-05-21,433909.94,West,Critical
POL00292,PRG007,TRT087,2025-05-27,2027-05-19,292803.92,East,Low
POL00293,PRG009,TRT089,2025-06-27,2026-10-19,347820.83,North,Low
POL00294,PRG004,TRT047,2025-02-18,2026-11-23,354876.78,North,High
POL00295,PRG005,TRT080,2026-09-08,2028-08-20,72708.0,West,Critical
POL00296,PRG011,TRT083,2025-07-31,2026-06-11,18515.01,East,Critical
POL00297,PRG004,TRT046,2026-02-25,2027-07-19,22972.89,West,Low
POL00298,PRG015,TRT039,2025-02-03,2026-03-09,163398.78,North,Critical
POL00299,PRG007,TRT007,2025-11-05,2027-10-28,154791.88,South,Low
POL00300,PRG022,TRT071,2025-02-15,2026-10-25,50833.42,North,Medium
POL00301,PRG008,TRT053,2026-09-02,2027-06-14,131019.51,West,Critical
POL00302,PRG007,TRT060,2026-01-21,2027-09-09,178570.58,South,Low
POL00303,PRG021,TRT082,2026-03-05,2027-10-04,188538.43,East,Critical
POL00304,PRG016,TRT003,2025-01-09,2025-07-11,110549.51,West,Medium
POL00305,PRG018,TRT006,2026-11-09,2027-06-22,111369.33,North,High
POL00306,PRG002,TRT064,2025-08-02,2027-03-18,431775.23,South,Low
POL00307,PRG022,TRT088,2025-03-08,2026-05-11,245078.83,South,High
POL00308,PRG004,TRT069,2025-01-26,2026-07-05,30003.97,North,Medium
POL00309,PRG002,TRT039,2025-11-20,2027-06-08,25561.08,North,Low
POL00310,PRG014,TRT059,2025-12-08,2027-08-23,225643.03,North,Critical
POL00311,PRG015,TRT053,2025-12-12,2027-03-09,453692.12,South,Medium
POL00312,PRG008,TRT072,2025-08-10,2026-03-09,452515.88,North,High
POL00313,PRG021,TRT062,2026-01-26,2026-08-30,118918.49,North,Low
POL00314,PRG010,TRT081,2025-04-21,2026-04-14,141843.0,South,Low
POL00315,PRG012,TRT035,2026-08-24,2027-03-07,195405.22,East,Critical
POL00316,PRG024,TRT043,2025-06-02,2027-05-26,255383.78,South,High
POL00317,PRG023,TRT012,2025-06-17,2027-03-16,469237.91,South,Critical
POL00318,PRG002,TRT047,2026-08-09,2028-06-07,87756.15,West,Low
POL00319,PRG012,TRT001,2026-06-01,2027-08-08,236127.38,South,Low
POL00320,PRG017,TRT049,2025-05-17,2026-09-22,195575.07,South,Low
POL00321,PRG020,TRT001,2026-02-26,2027-04-17,477853.46,South,Critical
POL00322,PRG001,TRT084,2025-04-22,2026-05-07,490155.52,North,Medium
POL00323,PRG016,TRT002,2026-03-25,2027-12-05,209819.75,West,Critical
POL00324,PRG008,TRT022,2026-11-14,2028-01-28,79375.03,South,Critical
POL00325,PRG007,TRT084,2025-04-05,2025-11-10,148839.3,East,High
POL00326,PRG023,TRT070,2025-10-22,2026-12-19,265985.28,East,Medium
POL00327,PRG003,TRT034,2026-03-02,2027-01-07,173872.64,South,High
POL00328,PRG016,TRT014,2026-03-10,2026-12-18,177302.01,West,Critical
POL00329,PRG021,TRT069,2026-02-22,2027-04-07,377987.94,West,High
POL00330,PRG018,TRT003,2026-05-15,2027-10-06,43137.62,South,Critical
POL00331,PRG007,TRT071,2025-03-22,2026-09-19,139110.81,East,High
POL00332,PRG017,TRT006,2025-01-06,2025-11-14,499659.29,East,High
POL00333,PRG008,TRT011,2026-09-11,2028-03-21,26823.22,North,Critical
POL00334,PRG024,TRT023,2025-04-23,2026-07-01,155188.92,North,Critical
POL00335,PRG024,TRT066,2026-09-29,2027-07-17,395214.48,East,High
POL00336,PRG022,TRT002,2026-04-20,2026-12-19,373574.36,East,Medium
POL00337,PRG018,TRT100,2026-04-08,2027-03-23,8988.42,North,Medium
POL00338,PRG016,TRT049,2025-10-23,2027-03-12,454347.11,West,Low
POL00339,PRG019,TRT044,2026-10-20,2027-11-02,277263.6,East,Medium
POL00340,PRG011,TRT098,2026-02-04,2027-05-21,113058.93,South,Low
POL00341,PRG009,TRT099,2026-09-29,2028-08-03,389340.13,North,High
POL00342,PRG006,TRT097,2025-02-06,2026-05-11,85620.42,South,High
POL00343,PRG003,TRT064,2025-02-04,2025-10-20,362736.97,West,High
POL00344,PRG004,TRT029,2025-06-28,2027-05-27,152728.19,North,Medium
POL00345,PRG010,TRT069,2026-06-21,2028-03-24,415399.24,West,Critical
POL00346,PRG017,TRT032,2025-02-25,2026-08-23,147225.44,East,Low
POL00347,PRG006,TRT011,2025-08-16,2027-04-29,439746.86,North,Medium
POL00348,PRG021,TRT092,2026-11-07,2028-09-23,379915.83,East,Critical
POL00349,PRG024,TRT046,2025-01-20,2026-09-09,101942.74,East,Critical
POL00350,PRG001,TRT062,2026-02-23,2027-02-11,13819.9,West,High
POL00351,PRG018,TRT001,2026-09-24,2028-02-28,214376.07,South,Medium
POL00352,PRG018,TRT084,2025-01-14,2027-01-06,464936.4,North,Low
POL00353,PRG022,TRT059,2026-10-06,2028-02-27,116426.12,South,High
